loss,acc,comms,bits
0.8088382968902588,73.53,1000,1197572080
0.8017451869964599,73.57,1000,1197572080
0.7804368705749511,74.44,1000,1197572080
0.8058709842681885,73.9,1000,1197572080
0.7893498163223267,74.36,1000,1197572080
0.7857321271896363,74.36,1000,1197572080
0.8075567779541015,73.73,1000,1197572080
0.7831679304122925,74.3,1000,1197572080
0.784452944946289,74.17,1000,1197572080
0.7841773849487305,74.17,1000,1197572080
0.7734161579132081,74.58,1000,1197572080
0.8257624490737915,73.5,1000,1197572080
0.8041023010253906,73.95,1000,1197572080
0.7881842077255249,74.55,1000,1197572080
0.793959970664978,73.38,1000,1197572080
0.8226944025039673,73.03,1000,1197572080
0.8009771780014038,74.52,1000,1197572080
0.7811477489471436,74.53,1000,1197572080
0.8127412351608276,73.45,1000,1197572080
0.8066444984436035,74.11,1000,1197572080
0.8134655918121337,74.12,1000,1197572080
0.7935936267852783,74.0,1000,1197572080
0.7915031862258911,74.13,1000,1197572080
0.789638743019104,74.08,1000,1197572080
0.8067228290557862,73.69,1000,1197572080
0.7944101327896118,73.79,1000,1197572080
0.7914161560058594,74.23,1000,1197572080
0.7862467611312867,74.36,1000,1197572080
0.7830410327911377,74.37,1000,1197572080
0.8007697191238403,73.93,1000,1197572080
0.796565334892273,73.99,1000,1197572080
0.8050910417556763,74.07,1000,1197572080
0.8078191654205322,74.17,1000,1197572080
0.8292469831466674,73.21,1000,1197572080
0.7926717060089111,74.58,1000,1197572080
0.7829826013565063,74.05,1000,1197572080
0.7741992916107178,74.58,1000,1197572080
0.7890191902160645,74.43,1000,1197572080
0.8103489906311035,74.64,1000,1197572080
0.7756312477111816,74.55,1000,1197572080
0.8166130416870118,74.32,1000,1197572080
0.8027453220367432,74.22,1000,1197572080
0.7927346866607666,74.59,1000,1197572080
0.8105486986160279,73.74,1000,1197572080
0.7895911405563355,74.11,1000,1197572080
0.7852770759582519,74.23,1000,1197572080
0.7968250183105469,74.13,1000,1197572080
0.771793595123291,74.71,1000,1197572080
0.79147806930542,74.7,1000,1197572080
0.7785151521682739,74.43,1000,1197572080
0.7837710834503174,74.01,1000,1197572080
0.8022271381378174,74.12,1000,1197572080
0.7799175722122192,74.45,1000,1197572080
0.7935148193359375,74.06,1000,1197572080
0.7985080486297608,73.94,1000,1197572080
0.7793457733154296,74.29,1000,1197572080
0.8109904069900513,73.8,1000,1197572080
0.7757038499832153,74.25,1000,1197572080
0.7944865953445435,74.42,1000,1197572080
0.7870874830245972,74.38,1000,1197572080
0.7713881107330323,74.46,1000,1197572080
0.795778176689148,74.42,1000,1197572080
0.7819676929473877,74.85,1000,1197572080
0.7724155445098877,74.79,1000,1197572080
0.7781430755615234,74.76,1000,1197572080
0.7662880718231201,75.14,1000,1197572080
0.7738109268188477,74.89,1000,1197572080
0.7884947788238525,75.08,1000,1197572080
0.7707111459732056,75.37,1000,1197572080
0.7786221740722656,74.65,1000,1197572080
0.7982834588050842,74.36,1000,1197572080
0.7790821619033813,75.06,1000,1197572080
0.8202937326431274,73.77,1000,1197572080
0.8092853607177735,74.21,1000,1197572080
0.7841618499755859,74.85,1000,1197572080
0.7924149064064026,74.58,1000,1197572080
0.8034041681289673,74.29,1000,1197572080
0.821751537322998,73.47,1000,1197572080
0.7830521438598633,74.76,1000,1197572080
0.7642145517349244,75.14,1000,1197572080
0.8066908695220947,74.12,1000,1197572080
0.7875907077789307,74.26,1000,1197572080
0.7925531425476074,74.07,1000,1197572080
0.7634726404190063,74.9,1000,1197572080
0.7948995374679565,74.58,1000,1197572080
